using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |7120764|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |208|SPY |-456|SAZ |14364|PHI |-710|THETA |178|PSI |-1024|Battery | 581|
Time |7221449|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |240|SPY |-402|SAZ |14416|PHI |-711|THETA |178|PSI |-1042|Battery | 560|
Time |7321827|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-18|SAX |226|SPY |-448|SAZ |14402|PHI |-711|THETA |179|PSI |-1060|Battery | 581|
Time |7422322|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |226|SPY |-466|SAZ |14384|PHI |-711|THETA |179|PSI |-1079|Battery | 581|
Time |7523340|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |226|SPY |-438|SAZ |14358|PHI |-712|THETA |179|PSI |-1097|Battery | 560|
Time |7623355|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |226|SPY |-442|SAZ |14390|PHI |-713|THETA |179|PSI |-1115|Battery | 595|
Time |7723765|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |218|SPY |-430|SAZ |14346|PHI |-713|THETA |179|PSI |-1133|Battery | 581|
Time |7824262|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-3|SR |-17|SAX |218|SPY |-426|SAZ |14394|PHI |-713|THETA |180|PSI |-1152|Battery | 560|
Time |7924778|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-3|SR |-17|SAX |252|SPY |-442|SAZ |14384|PHI |-714|THETA |181|PSI |-1170|Battery | 574|
Time |8025250|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |232|SPY |-438|SAZ |14374|PHI |-715|THETA |181|PSI |-1188|Battery | 581|
Time |8125795|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |234|SPY |-446|SAZ |14406|PHI |-716|THETA |182|PSI |-1206|Battery | 560|
Time |8226261|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |224|SPY |-430|SAZ |14372|PHI |-716|THETA |182|PSI |-1224|Battery | 581|
Time |8326781|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |244|SPY |-442|SAZ |14374|PHI |-716|THETA |182|PSI |-1242|Battery | 581|
Time |8427275|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |240|SPY |-450|SAZ |14394|PHI |-717|THETA |182|PSI |-1261|Battery | 560|
Time |8527756|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |216|SPY |-446|SAZ |14368|PHI |-718|THETA |182|PSI |-1279|Battery | 581|
Time |8628254|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-3|SR |-17|SAX |232|SPY |-422|SAZ |14372|PHI |-718|THETA |182|PSI |-1297|Battery | 581|
Time |8728745|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |266|SPY |-438|SAZ |14364|PHI |-718|THETA |183|PSI |-1316|Battery | 560|
Time |8829263|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |234|SPY |-452|SAZ |14348|PHI |-719|THETA |183|PSI |-1334|Battery | 574|
Time |8930284|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |220|SPY |-430|SAZ |14376|PHI |-720|THETA |183|PSI |-1352|Battery | 581|
