using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
timeout detected, sending mode as 1
Time |7119668|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |570|SPY |-412|SAZ |14390|PHI |-739|THETA |426|PSI |-1162|Battery | 581|
Time |7220341|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |560|SPY |-424|SAZ |14420|PHI |-739|THETA |426|PSI |-1181|Battery | 560|
Time |7321459|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |560|SPY |-418|SAZ |14376|PHI |-740|THETA |426|PSI |-1200|Battery | 581|
Time |7421465|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |566|SPY |-404|SAZ |14414|PHI |-741|THETA |427|PSI |-1219|Battery | 581|
Time |7521627|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |584|SPY |-408|SAZ |14414|PHI |-741|THETA |427|PSI |-1238|Battery | 560|
Time |7622125|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |590|SPY |-392|SAZ |14386|PHI |-742|THETA |428|PSI |-1257|Battery | 574|
Time |7723052|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |614|SPY |-388|SAZ |14396|PHI |-742|THETA |429|PSI |-1276|Battery | 581|
Time |7823132|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |574|SPY |-424|SAZ |14354|PHI |-743|THETA |429|PSI |-1295|Battery | 560|
Time |7923617|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |598|SPY |-392|SAZ |14376|PHI |-743|THETA |430|PSI |-1314|Battery | 574|
Time |8024131|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |566|SPY |-398|SAZ |14380|PHI |-743|THETA |430|PSI |-1333|Battery | 574|
Time |8124603|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |570|SPY |-416|SAZ |14396|PHI |-744|THETA |430|PSI |-1352|Battery | 560|
Time |8225096|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |550|SPY |-410|SAZ |14384|PHI |-744|THETA |431|PSI |-1371|Battery | 574|
Time |8325585|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |578|SPY |-416|SAZ |14390|PHI |-745|THETA |431|PSI |-1389|Battery | 581|
Time |8426112|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |568|SPY |-402|SAZ |14374|PHI |-746|THETA |432|PSI |-1408|Battery | 560|
Time |8526985|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |582|SPY |-402|SAZ |14388|PHI |-746|THETA |432|PSI |-1428|Battery | 581|
