 54197307, -742, -291
 54247420, -1069, -527
 54297521, 934, -450
 54347579, -612, 225
 54397618, -388, -472
 54447720, 883, 14
 54497798, 544, 461
 54548124, -362, 67
 54598230, -1742, -582
 54648327, -402, -1083
 54698444, 69, -383
 54748668, -370, -10
 54798676, -26, -224
 54848857, -299, -435
 54898871, -74, -269
 54949038, -67, -154
 54999070, -801, -218
 55049276, -376, -611
 55099421, 11, -214
 55149669, 149, -179
 55199692, -172, -82
 55249827, -116, -198
 55299915, -194, -228
 55349965, -509, -313
 55400000, 954, -169
 55450093, 1271, 532
 55500197, 968, 764
 55550566, 988, 755
 55600683, 1185, 893
 55650776, -880, 293
 55700785, -55, -58
 55751124, -468, -115
 55801790, -121, -237
 55852412, -48, -74
 55902906, -354, -270
 55953246, -2007, -744
 56003258, -1731, -1541
 56053457, 1550, -465
 56103627, 325, 412
 56153862, -1540, -422
 56203875, -480, -499
 56253956, -3415, -1267
 56303996, -1259, -1959
 56354285, 1072, -713
 56404292, 767, 127
 56454555, 28, 230
 56504563, -668, -84
 56554724, -1556, -768
 56604764, -1458, -1074
 56655023, -3835, -1870
 56705060, -1183, -2472
 56755387, -1819, -1413
 56805397, -5665, -3230
 56855440, -452, -3025
 56905498, -608, -2249
 56955505, -2210, -2329
 57005563, -2745, -2084
 57055660, -3695, -2907
 57106085, -4201, -3684
 57156202, -1431, -3112
 57206238, -2279, -2534
 57256364, -3653, -2942
 57306372, -4588, -3435
 57356395, -4716, -4055
 57406711, -8005, -5176
 57456832, -4756, -5518
 57507006, 786, -3428
 57557074, 4346, 76
 57607095, 2908, 555
 57657332, 3949, 2784
 57707344, 385, 2155
 57757547, 493, 1447
 57807565, -288, 413
 57857784, 1714, 879
 57907791, 1018, 916
 57957903, 1833, 1335
 58007970, -393, 1091
 58058059, -2426, -388
 58108378, -254, -781
 58158392, -621, -242
 58208670, -1236, -914
 58258842, 1162, -232
 58308926, -804, -125
 58358972, -885, -461
 58408983, -382, -454
 58459036, -324, -474
 58509182, -1474, -697
 58559472, -584, -844
 58609613, 2055, 72
 58659627, -1469, -424
 58709927, -934, -879
 58759941, -1986, -1078
 58809963, -117, -978
 58859985, -2168, -1094
 58910183, -3433, -2117
 58960450, -2868, -2671
 59010592, -2612, -2749
 59060599, -1822, -2366
 59110650, -1675, -2084
 59160861, -1227, -1786
 59211094, 80, -1107
 59261160, 870, -326
 59311186, 2290, 583
 59361399, 2575, 1660
 59411404, 3208, 2283
 59461683, 2727, 2507
 59511880, 3179, 2812
 59561892, 1850, 2632
 59611905, 1919, 2200
 59661965, 1131, 1841
 59712301, 796, 1234
 59762315, -170, 833
 59812494, -1596, -160
 59862611, -989, -881
 59912618, -243, -349
 59962870, -684, -668
 60012981, 447, -266
 60063087, 375, 67
 60113101, 460, 267
 60163371, 125, 191
 60213375, -832, -62
 60263390, -1019, -627
 60313758, -805, -748
 60363826, 45, -542
 60413840, -1466, -973
 60464084, -1528, -1453
 60514210, -918, -949
 60564299, -2934, -1582
 60614305, -1299, -2130
 60664338, 1292, -851
 60714736, -1021, -59
 60764748, -3191, -1360
 60814766, -977, -1781
 60865062, -1104, -1415
 60915072, -669, -1251
