using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |7521336|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-130|SQ |1|SR |-3|SAX |538|SPY |-66|SAZ |14188|PHI |-276|THETA |149|PSI |116|Battery | 560|
Time |7621832|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-103|SQ |6|SR |563|SAX |230|SPY |-322|SAZ |14450|PHI |-349|THETA |144|PSI |374|Battery | 574|
Time |7723047|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-43|SQ |1|SR |295|SAX |598|SPY |246|SAZ |14306|PHI |-419|THETA |121|PSI |976|Battery | 581|
Time |7823059|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-24|SQ |-7|SR |58|SAX |242|SPY |-30|SAZ |14442|PHI |-419|THETA |123|PSI |1105|Battery | 560|
Time |7923303|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-2|SQ |-1|SR |16|SAX |450|SPY |-120|SAZ |14402|PHI |-412|THETA |124|PSI |1135|Battery | 574|
Time |8023758|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-10|SQ |12|SR |-18|SAX |372|SPY |-54|SAZ |14416|PHI |-397|THETA |136|PSI |1122|Battery | 581|
Time |8124284|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-16|SQ |-3|SR |-15|SAX |300|SPY |-10|SAZ |14406|PHI |-390|THETA |134|PSI |1109|Battery | 560|
Time |8225341|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-30|SQ |10|SR |-13|SAX |274|SPY |-32|SAZ |14350|PHI |-390|THETA |135|PSI |1097|Battery | 574|
Time |8325353|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |-4|SR |-11|SAX |294|SPY |-46|SAZ |14396|PHI |-396|THETA |135|PSI |1107|Battery | 581|
Time |8425771|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |-3|SR |-10|SAX |504|SPY |34|SAZ |14426|PHI |-393|THETA |144|PSI |1095|Battery | 560|
